address,unit_number,price,city,state,zipcode,beds,baths,garage,property_size,lot_size,property_type,broker,date_scraped
1350 Lawrence St,4A,500000,Denver,CO,80204,2,2,1,1387,,Condo/Townhome/Row/H,TRELORA,2017-03-16
1355 W 67th Pl,,578762,Denver,CO,80221,3,3,2,3332,4010,Single Family Home,Coldwell Banker Residential Brokerage - Southeast ,2017-03-16
1365 Zenobia St,,500000,Denver,CO,80204,,,,8590,,Land,LUCERO REAL ESTATE,2017-03-16
1368 Ash St,,859000,Denver,CO,80220,5,4,2,3960,5340,Single Family Home,Kentwood City Properties,2017-03-16
1369 N Downing St,2,310000,Denver,CO,80218,2,1,1,1016,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
137 S Raleigh St,,247000,Denver,CO,80219,4,2,3,2733,6239,Single Family Home,RICH BORGA,2017-03-16
1370 Lowell Blvd,,1590000,Denver,CO,80204,,,,,12632,Land,LIV Sotheby's International Realty,2017-03-16
1371 Ivy St,,314900,Denver,CO,80220,2,1,1,1034,,Condo/Townhome/Row/H,Modus Real Estate,2017-03-16
1375 Ivy St,,274900,Denver,CO,80220,2,1,1,725,,Condo/Townhome/Row/H,Modus Real Estate,2017-03-16
1376 S Monroe St,,723000,Denver,CO,80210,4,3,2,2294,6250,Single Family Home,Kentwood Company,2017-03-16
140 S Clermont St,,2275000,Denver,CO,80246,6,7,3,7917,10454,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
1401 Wewatta St,901,730000,Denver,CO,80202,2,2,2,1819,33106,Condo/Townhome/Row/H,BANYAN REAL ESTATE  LLC,2017-03-16
1401 Wewatta St,Ph,1895000,Denver,CO,80202,2,3,3,2678,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1410 Columbine St,,837000,Denver,CO,80206,5,4,4,3989,4687,Single Family Home,Redfin,2017-03-16
1410 Columbine St,,837000,Denver,CO,80206,5,,4,3989,4687,Multi-Family,Redfin,2017-03-16
1415 N Washington St,202,358000,Denver,CO,80203,2,2,1,1181,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY SUCCESS,2017-03-16
1416 Little Raven St,C,780000,Denver,CO,80202,3,3,2,1893,1107,Condo/Townhome/Row/H,MB CHERRY TREE PROP,2017-03-16
1419 Detroit St,12,205000,Denver,CO,80206,1,1,,496,,Condo/Townhome/Row/H,TRELORA,2017-03-16
1421 Oneida St,8,315000,Denver,CO,80220,2,1,2,1065,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
1421 Utica St,,450000,Denver,CO,80204,2,2,1,2184,6250,Single Family Home,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
1427 N Emerson St,,575000,Denver,CO,80218,3,3,2,1802,,Condo/Townhome/Row/H,Elite Home Colorado,2017-03-16
1428 Uinta St,,364990,Denver,CO,80220,4,2,2,1698,6100,Multi-Family,DENVER REALTY GROUP,2017-03-16
1429 Adams St,,745000,Denver,CO,80206,4,3,2,2657,3965,Single Family Home,TRELORA,2017-03-16
1431 S Dahlia St,,468000,Denver,CO,80022,3,4,2,1967,5005,Single Family Home,CHERRY CREEK PROPERTIES INC,2017-03-16
1431 Spruce St,1437,389000,Denver,CO,80220,4,2,2,2664,6650,Single Family Home,Ridgemoor Realty,2017-03-16
14333 E 47th Dr,,244950,Denver,CO,80239,3,3,2,1451,,Condo/Townhome/Row/H,Elite Home Colorado,2017-03-16
1435 S Clayton St,,1425000,Denver,CO,80210,6,6,2,5721,6250,Single Family Home,Red Door Properties Inc,2017-03-16
1440 Little Raven St,303,340000,Denver,CO,80202,1,1,1,601,,Condo/Townhome/Row/H,SLIFER  SMITH & FRAMPTON DENVER  INC.,2017-03-16
1441 Vine St,2,398000,Denver,CO,80206,2,2,2,1045,,Condo/Townhome/Row/H,PorchLight Real Estate Group,2017-03-16
14415 E Elk Dr,,385900,Denver,CO,80239,5,4,2,2775,6000,Single Family Home,Keller Williams Integrity Real Estate,2017-03-16
14417 E Elk Dr,,385900,Denver,CO,80239,5,4,2,2775,6000,Single Family Home,Keller Williams Integrity Real Estate,2017-03-16
1445 S Logan St,,800000,Denver,CO,80210,3,2,2,1997,6250,Single Family Home,Cherry Creek Properties LLC,2017-03-16
1450 Roslyn St,,399900,Denver,CO,80220,3,2,3,2067,4570,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
1451 S Josephine St,,1595000,Denver,CO,80210,5,6,2,5528,6250,Single Family Home,PREFERRED PROPERTIES INC,2017-03-16
1459 N Pennsylvania St Ste A,,495000,Denver,CO,80203,2,2,1,2297,,Single Family Home,Conscious Real Estate,2017-03-16
14638 E 52nd Ave,,285000,Denver,CO,80239,3,3,2,1898,5200,Single Family Home,Premier Realty Llc,2017-03-16
14662 Randolph Pl,,280000,Denver,CO,80239,4,2,1,1714,6400,Single Family Home,Colorado Realty Pros,2017-03-16
1468 W 66th Ave,,569990,Denver,CO,80221,3,3,2,3233,6160,Single Family Home,Coldwell Banker Residential Brokerage - Southeast ,2017-03-16
1474 S Milwaukee St,,825000,Denver,CO,80210,4,4,2,4589,6250,Single Family Home,Re/Max Uptown Inc,2017-03-16
1475 N Humboldt St,3,315000,Denver,CO,80218,1,1,,718,,Condo/Townhome/Row/H,KELLER WILLIAMS ACTION REALTY,2017-03-16
1479 Lofton Ct,,559800,Denver,CO,80221,5,4,3,4209,15682,Single Family Home,KELLER WILLIAMS REALTY-DENVER SOUTHEAST,2017-03-16
1481 Ash St,7,185000,Denver,CO,80220,1,1,1,656,,Condo/Townhome/Row/H,Metro Brokers/DeLUX Team Realty Inc.,2017-03-16
1484 W 66th Ave,,682806,Denver,CO,80221,3,3,2,3138,6160,Single Family Home,Coldwell Banker Residential Brokerage - Southeast ,2017-03-16
1488 Madison St,101,375000,Denver,CO,80206,2,2,1,1408,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1488 Madison St,404,429900,Denver,CO,80206,2,2,1,1422,,Condo/Townhome/Row/H,RE/MAX Professionals,2017-03-16
1488 Madison St,110,145424,Denver,CO,80206,0,1,1,658,,Condo/Townhome/Row/H,Signature Real Estate Corp.,2017-03-16
1488 S Krameria St,,524900,Denver,CO,80224,3,2,5,1850,9900,Single Family Home,KELLER WILLIAMS REALTY DTC,2017-03-16
1489 Steele St,203,369000,Denver,CO,80206,2,2,1,1114,,Condo/Townhome/Row/H,PorchLight Real Estate Group,2017-03-16
